,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures
373,3PM,10/8/2021,SLUNorth-West,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,6,0,0,0,0,0,,
427,4PM,10/8/2021,SLUNorth-West,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,7,0,0,0,0,0,,
481,5PM,10/8/2021,SLUNorth-West,NO RPZ,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,6,0,0,0,0,0,,
37,09AM,10/8/2021,SLUNorth-West,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,5,0,0,0,0,0,,
91,10AM,10/8/2021,SLUNorth-West,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,5,0,0,0,0,0,,
145,11AM,10/8/2021,SLUNorth-West,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,5,0,0,0,0,0,,
199,12PM,10/8/2021,SLUNorth-West,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,2,0,0,0,0,0,,
253,1PM,10/8/2021,SLUNorth-West,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,2,0,0,0,0,0,,
307,2PM,10/8/2021,SLUNorth-West,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,1,0,0,0,0,0,,
361,3PM,10/8/2021,SLUNorth-West,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,2,0,0,0,0,0,,
415,4PM,10/8/2021,SLUNorth-West,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,1,0,0,0,0,0,,
469,5PM,10/8/2021,SLUNorth-West,NO RPZ,32913,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,3,0,0,0,0,0,,
34,09AM,10/8/2021,SLUNorth-West,NO RPZ,32914,DEXTER AVE N BETWEEN LEE ST AND GALER ST,E,6,0,0,1,0,0,,
88,10AM,10/8/2021,SLUNorth-West,NO RPZ,32914,DEXTER AVE N BETWEEN LEE ST AND GALER ST,E,8,0,0,0,1,0,,
142,11AM,10/8/2021,SLUNorth-West,NO RPZ,32914,DEXTER AVE N BETWEEN LEE ST AND GALER ST,E,6,0,0,0,1,0,,
196,12PM,10/8/2021,SLUNorth-West,NO RPZ,32914,DEXTER AVE N BETWEEN LEE ST AND GALER ST,E,5,0,0,0,0,0,,
250,1PM,10/8/2021,SLUNorth-West,NO RPZ,32914,DEXTER AVE N BETWEEN LEE ST AND GALER ST,E,5,0,0,0,0,0,,
